"mamillar body"	"thể dạng núm"
"mamma"	"vú, tuyến sữa"
"Mammalia"	"lớp Động vật có vú, lớp Thú"
"mammalian cell culture"	"nuôi cấy tế bào động vật có vú"
"mammary"	"(thuộc) vú, tuyến vú"
"mammary gland"	"tuyến vú"
"Man"	"chủng Người"
"management"	"quản lý sinh thái"
"mandible"	"hàm dưới"
"mandible"	"hàm nghiền"
"mandible of insects"	"hàm nghiền của côn trùng"
"mandible length"	"chiều dài hàm dưới"
"mandibular cartilage"	"sụn hàm dưới"
"mandibular glands"	"tuyến hàm dưới"
"manganese"	"mangan"
"mania"	"cơn hưng cảm"
"manifest dream content"	"nội dung của biểu thị giấc mơ"
"manna"	"giọt mật"
"mannan oligosaccharides"	"oligosaccharid mannan"
"mannanoligosaccharides"	"mannanoligosaccharid"
"mannogalactan"	"mannogalactan"
"manoxylic wood"	"gỗ mềm, gỗ xốp"
"mantle"	"áo, lớp bao"
"mantle cavity"	"xoang bao tim"
"mantle cavity"	"khoang áo"
"Mantoux test"	"thử nghiệm Mantoux"
"Manubrium"	"cán"
"Manubrium"	"cán xương ức"
"Manubrium"	"cán xương búa"
"Manubrium"	"cán dù"
"manus"	"bàn tay"
"manyplies"	"dạ lá sách"
"map"	"bản đồ"
"map distance"	"khoảng cách (trên) bản đồ (di truyền)"
"MAPK"	"kinaza protein hoạt hoá bởi tác nhân phân bào (Mitogen-Activated Protein Kinase)"
"MAPK"	"system hệ thống MAPK"
"mapping"	"(sự) lập bản đồ, xây dựng bản đồ"
"mapping (of genome)"	"lập bản đồ, xây dựng bản đồ (của hệ gen)"
"marcescent"	"(sự) khô héo, tán úa"
"marginal"	"(thuộc) rìa, mép, cạnh, bờ"
"marginal layer"	"lớp áo"
"marginal meristem"	"mô phân sinh rìa, mô phân sinh bên"
"marihuana"	"marihuana"
"marine system"	"hệ biển"
"mark and recapture"	"đánh dấu và bắt lại"
"marker (DNA marker)"	"chỉ thị, dấu chuẩn (chỉ thị ADN)"
"marker (DNA sequence)"	"chỉ thị, dấu chuẩn (một trình tự ADN)"
"marker (genetic marker)"	"chỉ thị, dấu chuẩn (chỉ thị di truyền)"
"marker assisted breeding"	"nhân (chọn) giống nhờ chỉ thị"
"marker assisted selection"	"chọn giống nhờ chỉ thị"
"marking"	"dấu ghi, vết"
"marrow"	"tuỷ (xương)"
"MARS (marker-assisted recurrent selection)"	"chọn giống định kỳ nhờ chỉ thị"
"marsk"	"đầm lầy"
"marsupial"	"(thuộc) có túi"
"marsupial mammal"	"thú có túi"
"Marsupiala"	"bộ Thú có túi"
"marsupium"	"túi nuôi con, túi ấp"
"MAS"	"chọn giống nhờ chỉ thị (Marker Assisted Selection)"
"mask"	"cơ quan bắt mồi"
"masochism"	"(chứng) khổ dục,  khổ dâm,  loạn dâm thích đau"
"masoglea"	"thực bào trung bì"
"mass applied genomics"	"hệ gen học ứng dụng hàng loạt"
"mass"	"khối lượng"
"mass migration"	"di cư đồng loạt"
"mass number"	"số khối"
"mass reflex"	"phản xạ khối"
"mass spectrometer"	"máy đo khối phổ"
"masseter"	"cơ nhai"
"masseteric"	"(thuộc) cơ nhai"
"mass-flow hypothesis"	"giả thuyết dòng vật chất"
"massively parallel signature sequencing"	"giải trình tự hàng loạt các dấu song song (trong định dạng các ARN ngắn)"
"mast"	"quả hạch, quả sồi, quả dẻ gai"
"mast cell"	"tế bào mast, tế bào phì, dưỡng bào"
"mastication"	"(sự) nhai, nghiền"
"mastax"	"mề nghiền"
"masticatory"	"nhai, nghiền"
"Mastigomycotina"	"phân ngành Nấm có động bào tử, lớp Nấm có động bào tử"
"Mastigophora"	"lớp Trùng roi"
"mastoid"	"(có) dạng núm,  dạng chũm"
"maternal effect"	"tác dụng của mẹ, hiệu ứng của mẹ, ảnh hưởng của mẹ"
"maternal immunity"	"miễn dịch mẹ truyền"
"maternal mARN"	"mARN mẹ"
"mating type"	"kiểu giao phối, kiểu ghép đôi"
"matric potential"	"thế hút mao mạch"
"matrix"	"chất cơ bản"
"matrix"	"chất nền"
"matrix metalloproteinases (MMP)"	"metalloproteinaza cơ chất"
"matrix-assisted laser desorption"	"(quá trình) đẩy rời laze bằng cơ chất"
"matroclinous"	"(có) tính trạng mẹ,  dòng mẹ"
"matromorphic"	"(có) dạng mẹ"
"matter"	"mủ"
"maturation"	"(sự) thành thục, trưởng thành"
"maturation divisions"	"phân bào thành thục, phân chia giảm nhiễm"
"maturation of behaviour"	"thành thục về tập tính"
"maturation of oocyte"	"tế bào trứng chín"
"maturation promoting factor"	"yếu tố khở đầu chín"
"maxilla"	"hàm trên, xương hàm trên"
"maxilla"	"hàm dưới"
"maxillae"	"(các) hàm trên,  xương hàm trên,  hàm dưới"
"maxillary"	"(thuộc) hàm trên, xương hàm trên"
"maxillary glands"	"tuyến hàm trên"
"maxilliferous"	"(có) hàm"
"maxilliform"	"(có) dạng hàm"
"maxilliped"	"mảnh chân hàm, chân hàm"
"maximal food chain"	"chuỗi thức ăn tối đa"
"maximum permissible concentration"	"nồng độ tối đa cho phép"
"maximum permissible dose flux"	"thông lượng tối đa cho phép"
"maximum residue level"	"mức độ gốc cực đại"
"maysin"	"maysin (hoá chất ở ngô có tác dụng diệt côn trùng)"
"maze"	"mê lộ, đường rối"
"MCA"	"viết tắt của Medicines Control Agency"
"MCS"	"viết tắt của Multiple Cloning Site"
"MCSF"	"viết tắt của Macrophage Colony Stimulating Factor"
"MCT"	"triacylglycerid chuỗi trung bình (Medium Chain Triacylglycerides)"
"MD"	"viết tắt của Muscular Dystrophy"
"MEA"	"Hiệp định môi trường đa phương (Multilateral Environmental Agreement)"
"mean"	"trung bình (số học)"
"mean arterial blood pressure"	"huyết áp trung bình"
"mean lethal dose"	"liều gây chết trung bình"
"mean-square error"	"sai số bình phương trung bình"
"meat"	"thịt"
"meatus"	"ống, ngách"
"mechanical tissue"	"mô cơ, mô đỡ"
"mechanoreceptor"	"cơ quan thụ cảm cơ học"
"Meckel cartilage"	"sụn Meckel"
"meconium"	"cứt su"
"med ullary bundle"	"bó lõi, bõ ruột"
"mediad"	"theo trục, theo đường giữa"
"median eye"	"mắt giữa"
"median"	"số trung vị, (giá trị) trung bình"
"mediastinum"	"trung thất"
"medical model"	"mô hình y học"
"medicines control agency (MCA)"	"cục (cơ quan) kiểm soát thuốc"
"medifoods"	"thực phẩm dược"
"medium"	"môi trường (nuôi cấy), trung bình"
"medium chain saturated fats"	"mỡ bão hoà chuỗi trung bình"
"medium chain triacyglycerides"	"triacyglycerid chuỗi trung bình"
"medium chain triglycerides"	"triglycerid chuỗi trung bình"
"medulla"	"tuỷ"
"medulla"	"lõi, dác, ruột"
"medulla oblongata"	"hành tuỷ"
"medullary"	"(thuộc) tuỷ"
"medullary"	"(thuộc) lõi, dác, ruột"
"medullary canal"	"ống tuỷ"
"medullary folds"	"nếp thần kinh"
"medullary plate"	"tấm tuỷ"
"medullary ray"	"miền gian bó"
"medullary ray"	"tia tuỷ"
"medullary sheath"	"bao nguyên mộc"
"medullary sheath"	"bao tuỷ, bao myelin"
"medullated nerve fibres"	"sợi thần kinh có bao myelin"
"medullated protostele"	"trụ nguyên sinh có tuỷ"
"medullate"	"(có) tuỷ,  lõi,  giác,  ruột"
"medullated"	"(có) tuỷ,  lõi,  giác,  ruột"
"medusa"	"sứa"
"megabase"	"megabazơ (một triệu bazơ)"
"megafauna"	"khu hệ động vật lớn"
"megakaryocyte stimulating factor"	"nhân tố kích thích tế bào nhân lớn"
"megaphytes"	"thựcv ật lớn"
"megagamete"	"đại giao tử, giao tử cái"
"megakaryocyte"	"tế bào nhân khổng lồ"
"megalecithal"	"nhiều noãn hoàng"
"megaloblast"	"nguyên hồng câu khổng lồ"
"megamere"	"phôi bào lớn"
"meganucleus"	"nhân lớn, nhân sinh dưỡng"
"megaphanerophyte"	"cây gỗ lớn"
"megaphyll"	"lá to, lá lớn"
"megaphyllous"	"(có) lá lớn"
"megasporangium"	"túi bào tử cái, nang đại bào tử"
"megaspore"	"đại bào tử, bào tử lớn"
"megasporophyll"	"lá bào tử cái, lá đại bào tử, đại bào tử diệp"
"mega- yac"	"viết tắt của Mega-Yeast Artificial Chromosomes"
"mega-yeast artificial chromosomes (mega YAC)"	"nhiễm sắc thể nấm men lớn nhân tạo"
"maximum permissible dose rate"	"suất liều lượng tối đa cho phép"
"maximum permissible level"	"mức tối đa cho phép"
"maximum sustainable yeild"	"thu hoạch bền vững tối đa"
"Meibomian glands"	"(các) tuyến Meibomi, tuyến sụn mí mắt"
"meiomerous"	"thiếu bộ phận, giảm bộ phận"
"meiomery"	"(tính) thiếu bộ phận, (tính) giảm bộ phận"
"meiosis"	"(sự) giảm phân, phân bào giảm nhiễm"
"meiospore"	"bào tử đơn bội"
"Meissner’s corpuscles"	"(các) tiểu thể Meissner"
"Meissner’s plexus"	"đám rối thần kinh Meissner"
"melanism"	"(chứng) nhiễm melanin"
"melanoblast"	"nguyên bào melanin, nguyên hắc tố bào"
"melanocyte-stimulating hormone"	"hormon kích thích tế bào melanin"
"melanoidins"	"melanoidin (chất chống oxy hoá mạnh trong cơ thể người)"
"melanoma"	"ung thư da (u màu đen)"
"melanophore"	"tế bào sắc tố đen, tế bào melanin"
"melanosporous"	"(có) bào tử đen"
"melanosporous"	"(chứng) nhiễm sắc tố melanin"
"Melastomaceae"	"họ Mua"
"melliphagus"	"ăn mật"
"mellivorous"	"ăn mật"
"melotic"	"(thuộc) giảm phân, phân bào giảm nhiễm"
"melotic arrest"	"ngừng giảm phân"
"melting"	"nóng chảy, biến tính"
"melting (of DNA)"	"biến tính ADN, nóng chảy ADN"
"melting temperature"	"nhiệt độ nóng chảy"
"melting temperature of DNA"	"nhiệt độ biến tính ADN"
"member"	"thành phần, chi"
"membrana"	"màng"
"membrana tectoria"	"màng Corti, màng mái"
"membrana tympani"	"màng nhĩ, trống tai"
"membrane"	"màng"
"membrane"	"màng tế bào"
"membrane filter"	"bộ lọc màng"
"membrane potential"	"điện thế màng"
"membranella"	"màng nhỏ, màng mỏng"
"memory"	"trí nhớ, bộ nhớ"
"memory cell"	"tế bào ghi nhớ"
"memory span"	"khẩu độ trí nhớ, quãng nhớ, trí nhớ ngắn hạn"
"memory trace"	"dấu vết ghi nhớ"
"menarche"	"tuổi bắt đầu có kinh"
"Mendel’s laws"	"(các) định luật Mendel"
"Mendelian character"	"tính trạng Mendel"
"Mendelian genetics"	"do truyền học Mendel"
"Meniere ‘s disease"	"bệnh Meniere"
"meninges"	"(các) màng não-tuỷ"
"meninx"	"màng não-tuỷ"
"menopause"	"(sự) ngừng kinh, mãn kinh, tắt kinh"
"mensa"	"mặt nghiền, thớt nghiền"
"menstrual cycle"	"chu kỳ kinh nguyệt"
"menstrual cycle"	"chu kỳ kinh nguyệt"
"menstruation"	"kỳ kinh nguyệt, kỳ hành kinh"
"menstrution"	"hiện tượng kinh nguyệt"
"mental"	"(thuộc) cằm, vùng cằm, mảnh cằm"
"membrane channels"	"kênh (trên) màng"
"membrane transport"	"vận chuyển (qua) màng"
"membrane transporter protein"	"protein vận chuyển (qua) màng"
"membranes (of a cell)"	"màng (của tế bào)"
"MEMS"	"các hệ thống vi cơ điện (Micro-ElectroMechanical Systems)"
"mental age"	"tuổi khôn, tuổi tâm thần, tuổi trí tuệ"
"mental model"	"mô hình tư duy"
"mental retardation"	"(chứng) tâm thần chậm chạp,  tâm thần trì độn"
"mental set"	"nếp tư duy, nếp suy nghĩ"
"mentum"	"cằm"
"mentum"	"vùng cằm"
"mEPSPS"	"mEPSPS (dạng m của enzym 5-EnolPyruvyl-Shikimate-3- Phosphate Synthase)"
"mericlinal"	"dạng khảm bao từng phần"
"meridional"	"(thuộc) kinh tuyến,  chiều dọc"
"meriiscus"	"sụn chêm"
"meristele"	"trụ phân chia, trung trụ nhánh"
"meristem"	"mô phân sinh"
"merogamy"	"(tính) tiếp hợp giao tử nhỏ"
"merogenesis"	"(sự) phân đốt"
"merogony"	"(sự) phát triển đoạn trứng"
"merome"	"đốt thân, khúc thân"
"meroplankton"	"sinh vật nổi theo mùa"
"merosthenic"	"chi sau không bình thường, chi sau đặc biệt phát triển"
"meristem culture"	"nuôi cây mô phân sinh"
"meristic"	"phân đoạn, phân đốt"
"meristic variation"	"biến đổi số lượng"
"Merkel cells"	"tế bào Merkel"
"mermaid’s purse"	"vỏ trứng cá đuối"
"meroblastic"	"phân cắt không hoàn toàn"
"messenger RNA"	"ARN thông tin"
"mestome"	"bó mạch gỗ-libe"
"merozoite"	"thể hoa thị, thể chia đoạn"
"merycism"	"(sự) nhai lại"
"mesarch"	"toả trung trụ, toả tâm"
"mesaxonic foot"	"chân trục giữa, chân móng guôc lẻ"
"mescaline"	"mescalin"
"mesectoderm"	"trung ngoại phôi bì"
"mesencephalon"	"não giữa"
"mesenchyma"	"trung mô, mô giữa"
"mesenchymal adult stem cells"	"tế bào gốc trưởng thành trung mô"
"mesenchymal stem cell (MSC)"	"tế bào gốc trung mô"
"mesenchymatous"	"(thuộc) trung mô, mô giữa"
"mesenchyme"	"trung mô, mô giữa"
"mesenterial"	"(thuộc) ruột giữa,  mạc treo ruột"
"mesenteric"	"(thuộc) ruột giữa,  mạc treo ruột"
"mesenteric caeca"	"ruột thừa, manh tràng, ruột tịt"
"mesenteron"	"ruột giữa"
"mesentery"	"nếp dọc vách ruột, tia vách ruột"
"mesentery"	"mạc treo"
"mesethmoid"	"sụn gian xương sàng"
"mesiad"	"hướng mặt phẳng giữa"
"mesial"	"(thuộc) mặt phẳng dọc giữa"
"mesh size"	"cỡ mắt lưới"
"mesmerism"	"(sự) thôi miên"
"mesobenthos"	"sinh vật đáy sâu trung bình"
"mesoblast"	"trung phôi bì, lá phôi giữa"
"mesoblastic"	"(thuộc) trung phôi bì, lá phôi giữa"
"mesoblastic somites"	"(các) đốt thân trung phôi bì,  đốt thân lá phôi giữa"
"mesocarp"	"vỏ quả giữa, trung quả bì"
"mesocoele"	"xoang não giữa, cống"
"mesoderm"	"trung phôi bì, lá phôi giữa"
"mesodermal adult stem cells"	"tế bào gốc trưởng thành trung phôi"
"mesofauna"	"khu hệ động vật cỡ vừa"
"mesogaster"	"mạc treo dạ dày, màng treo dạ dày"
"mesogloea"	"lớp keo đệm, lớp keo giữa, tầng trung gian"
"mesokaryote"	"nhân giữa, nội nhân"
"mesolecithal"	"(có) lượng noãn hoàng trung bình, (có) lượng noãn hoàng vừa"
"mesohyl"	"mô giữa, trung mô"
"mesometrium"	"mạc treo tử cung, mạc treo dạ con"
"mesomorph"	"người có hình thái trung bình"
"mesonephric"	"(thuộc) trung thận"
"mesonephric duct"	"ống trung thận"
"mesonephros"	"trung thận, thể Wolff"
"mesophile"	"thể ưa nhiệt trung bình, sinh vật ưa nhiệt trung bình"
"mesophilic"	"ưa nhiệt trung bình, ưa nhiệt ôn hoà"
"mesian"	"(thuộc) mặt phẳng dọc giữa"
"mesomeres"	"đốt giữa, khúc giữa"
"mesophilic bacteria"	"vi khuẩn ưa nhiệt độ trung bình"
"mesophyll"	"thịt lá"
"mesophyll cell"	"tế bào thịt lá"
"mesophyte"	"thực vật ôn đới-ẩm trung bình"
"mesorchium"	"mạc treo tinh hoàn, màng treo tinh hoàn"
"mesosternum"	"phần giữa xương ức, thân xương ức, cán ức"
"mesosternum"	"mảnh ức- ngực giữa"
"mesotarsal"	"(thuộc) đốt bàn chân giữa 2.khớp mắt cá"
"mesoscale"	"qui mô trung bình"
"mesothoracic"	"trung biểu mô"
"mesothorax"	"đốt ngực giữa"
"mesotrochal"	"(có) vành lông rung giữa"
"mesovarium"	"mạc treo buồng trứng, màng treo buồng trứng"
"messenger"	"thể mang thông tin, phân tử mang thông tin"
"messenger RNA"	"mARN (ARN thông tin)"
"mestom sheath"	"bao bó mạch gỗ-libe"
"mestome sheath"	"bao bó mạch gỗ-libe"
"met"	"viết tắt của methionin"
"metabohite"	"chất chuyển hóa, sản phẩm chuyển hoá"
"metabolic"	"(thuộc) chuyển hoá, trao đổi chất"
"metabolic engineering"	"kỹ thuật trao đổi chất"
"metabolic flux analysis"	"phân tích dòng chảy trao đổi chất"
"metabolic pathway"	"con đường trao đổi chất, con đường chuỷen hoá"
"metabolic rate"	"tốc độ chuyển hoá"
"metabolism"	"trao đổi chất, chuyển hoá"
"metabolism"	"(hiện tượng) chuyển hoá,  trao đổi chất"
"metabolite"	"chất trao đổi"
"metabolite profiling"	"định dạng chất trao đổi"
"metabolome"	"hệ trao đổi chất"
"metabolomics"	"môn trao đổi chất"
"metabolon"	"đơn vị trao đổi chất"
"metaboly"	"(tính) biến dạng,  đổi dạng"
"metabonomic signature"	"dấu ấn trao đổi chất (bộ chất trao đổi tại một thời điểm)"
"metabonomics"	"môn Phản ứng trao đổi chất (nghiên cứu sự biến đổi trao đổi chất khi có tác động ngoại cảnh hoặc do thao tác gen)"
"metacarpal"	"(thuộc) xương đốt bàn tay"
"metacarpale"	"(thuộc) xương đốt bàn tay"
"metacarpus"	"xương đốt bàn tay"
"metacercaria"	"ấu trùng metacercaria"
"metachronal rhythm"	"nhịp đổi thời, nhịp khác thì"
"metachrosis"	"(sự) thay đổi màu da"
"metacoele"	"não thất IV, khoang não sau, khoang cuối"
"metadiscoidal placentation"	"nhau thai kết đĩa"
"metagenesis"	"(sự) xen kẽ thế hệ sinh sản"
"metal tags"	"vòng đeo sắt, thẻ kim loại"
"metalloenzyme"	"metalloenzym"
"metalloproteins"	"metalloprotein"
"metamere"	"đốt thân, khúc thân, cơ thể, khúc cơ thể"
"metameric"	"(thuộc) phân đốt"
"metameric segmentation"	"phân đốt"
"metamerism"	"(hiện tượng) phân đốt"
"metamodel methods (of bioinformatics)"	"phương pháp mô hình trung bình (trong tin sinh học)"
"metamorphic"	"(thuộc) biến thái"
"metamorphosis"	"(sự) biến thái"
"metamyelocyte"	"tuỷ bào thứ sinh, hậu tuỷ bào"
"metanephric"	"(thuộc) hậu thận"
"metanephric duct"	"ống hậu thận, ống thận sau"
"metanephridia"	"hậu đơn thận"
"metanephridium"	"hậu đơn thận"
"metanephros"	"hậu đơn thận"
"metanomics"	"xem metabonomics"
"metaphloem libe"	"thứ cấp, libe hậu sinh"
"metaplasia"	"(sự) biến dạng mô"
"metaplasis"	"giai đoạn thành thục, giai đoạn chín"
"metaphase"	"kỳ giữa"
"metaphase plate"	"tấm kỳ giữa"
"metapodial"	"(thuộc) bàn tay, bàn chân, cổ chân, đốt sau cuống bụng, phần cuối cuống bụng"
"metapodium"	"bàn tay, bàn chân, cổ chân"
"metapodium"	"đốt sau cuống bụng"
"metapodium"	"phần cuối cuống bụng"
"metapophysis"	"mấu trên mỏm khớp đốt sống"
"metarterioles"	"nhánh động mạch nhỏ"
"metasitism"	"(hiện tượng) ăn thịt đồng loại"
